Keyword,Location,Name,Website,Phone,Instagram,Facebook,Twitter,Additional Phone,Email
define+chiropractors,Florida,United Joint & Spine Center,sarasotaflchiropractor.com,+1 941-922-4222,https://www.instagram.com/unitedjointandspinesarasota/,https://www.facebook.com/UnitedJointSpineCenter,https://twitter.com/jointunited,9419224222,unitedjointspinecenter@gmail.com
define+chiropractors,Florida,Chiropractic Clinics of South Florida,soflochiro.com,+1 561-296-1317,,,,"305-949-6740, 305-450-2952, 305-450-2925, 877-881-4878., 877-881-4878, %20877-881-4878",
define+chiropractors,Florida,Spine & Sports Therapy,spineandsportstherapyonline.com,+1 727-327-0721,,https://www.facebook.com/spineandsportstherapyonline/?ref=page_internal,,"(727)%20327-0721,  17273270721",
define+chiropractors,Florida,Pioneer Chiropractic,pioneernsb.com,+1 386-957-3505,,,,,
define+chiropractors,Florida,Amazing Spine Care,amazingspinecare.com,+1 904-320-0807,https://www.instagram.com/amazingspinecare,https://www.facebook.com/AmazingSpineCare/,https://twitter.com/amazing_spine,"904-320-0807, 904-601-0870, 904-320-0706, 904-320-0183, 904-900-2631, 904-320-0808, 9043200808, (904) 320-0808, %7bF, 904-320-0831",amazingspinecare@gmail.com
define+chiropractors,Florida,Momentum Medical Of Tampa,pipdoc.com,+1 813-900-7246,https://www.instagram.com/momentuminjury/,https://www.facebook.com/MomentumInjury,,"+18446647246, 3869007246, 4079007246, 8139007246",info@momemtuminjury.com
define+chiropractors,Florida,Momentum Medical Of Tampa,momentuminjury.com,+1 813-900-7246,https://www.instagram.com/momentuminjury/,https://www.facebook.com/MomentumInjury,,"+18446647246, 3869007246, 4079007246, 8139007246",info@momemtuminjury.com
define+chiropractors,Florida,O'Laire Chiropractic,olairechiropractic.com,+1 251-679-1995,,"https://www.facebook.com/OLaireChiropractic/, https://www.facebook.com/OLaireChiropractic",,251-679-1995,therapy627@gmail.com
define+chiropractors,Florida,Bay Area Wellness Center,bayareawellnesscenter.com,+1 727-327-4522,https://www.instagram.com/bayareawellnesscenter/,https://www.facebook.com/bayareawellnesscenter/,,(727) 327-4522,bayareawellcare@gmail.com
define+chiropractors,Florida,Jacksonville Chiropractic and Rehabilitation: Auto Injury Treatment,jaxchirorehab.com,+1 904-518-4555,,https://www.facebook.com/jaxchiroandrehab/,,"9047202589, 9045184555",info@jaxchirorehab.com
define+chiropractors,Florida,Jacksonville Chiropractic and Rehabilitation: Auto Injury Treatment,chiromatrixbase.com,+1 904-518-4555,,,,,
