Keyword,Location,Name,Website,Phone,Instagram,Facebook,Twitter,Additional Phone,Email
carpeting+and+flooring+companies,New York,Mercier Carpet,merciercarpet.com,+1 413-736-5811,,,,,
carpeting+and+flooring+companies,New York,ARTIME CARPET OF CONNECTICUT,jyflooring.com,+1 860-999-4729,,,,,
carpeting+and+flooring+companies,New York,Carpet One Scotts,scottscarpetonepittsfield.com,+1 413-443-7434,,,,,
carpeting+and+flooring+companies,New York,"Karpet Partners, Inc.",karpetpartners.com,+1 860-738-1496,,clkn/https/www.facebook.com/karpetpartnersinc/,,,
carpeting+and+flooring+companies,New York,CNY Flooring,cnyflooring.com,+1 315-510-3460,,https://facebook.com/profile.php?id=100087453472457,,,office@cnyflooring.com
Carpeting+and+Flooring+New+York,New York,Manhattan Carpet & Floor,lowermanhattan.abbeycarpet.com,+1 212-685-3626,,,,(212)685-3626,
Carpeting+and+Flooring+New+York,New York,CarpetsNY,carpetsny.com,+1 212-951-7194,http://instagram.com/carpetsny,https://www.facebook.com/carpetsny/info,https://twitter.com/CarpetsNY,2129517194,support@carpetsny.com
Carpeting+and+Flooring+New+York,New York,Carpet Factory Outlet,carpetfactoryoutlet.com,+1 212-988-5326,,,,,
Carpeting+and+Flooring+New+York,New York,NYC Flooring Group,nycflooringgroup.com,+1 866-593-8884,https://www.instagram.com/nycflooringgroupnyc/,,,"+18665938884, %20866%20593%208884",
Carpeting+and+Flooring+New+York,New York,Raskin Carpets,raskincarpets.com,+1 212-369-1100,,,,,
Carpeting+and+Flooring+New+York,New York,NYC Carpet Installation,nyccarpetinstallation.com,+1 212-365-5560,,,,"2123655560, 8667012120",filler@godaddy.com
Carpeting+and+Flooring+New+York,New York,Aronson's Floor Covering,aronsonsfloors.com,+1 212-243-4993,https://www.instagram.com/aronsonsfloorcovering/,,,,logo@2x.png
Carpeting+and+Flooring+New+York,New York,The New York Carpet Company,thenewyorkcarpetcompany.com,+1 212-252-9516,,,,,
Carpeting+and+Flooring+New+York,New York,A-1 Interior Carpets,a1interiorcarpets.com,+1 212-734-8929,,,,,
Carpeting+and+Flooring+New+York,New York,Popular Carpet New York,floorcoveringnewyork.com,+1 212-246-1946,,,,,
